PARROQUIA;CODIGO_PARROQUIA;NOMBRE;CODIGO_INSTITUCION;TIPO_EDUCACION;SOSTENIMIENTO;ZONA;MODALIDAD;DOCENTES;TOTAL_ESTUDIANTES
BAÑOS;010151;CENTRO EDUCATIVO ROUSSEAU;01B00019;Educación Regular;Particular;RuralINEC;Presencial;8;47
BAÑOS;010151;COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY;01B00020;Educación Regular;Fiscal;RuralINEC;Presencial y Semipresencial;22;264
CHAUCHA;010153;SEIS DE JUNIO;01B00021;Educación Regular;Fiscal;RuralINEC;Presencial;1;24
GIL RAMIREZ DAVALOS;010106;UNIDAD EDUCATIVA INTERCULTURAL BILINGUE LA PAZ  EXTENSIÓN AZUAY;01B00022;Educación Regular;Fiscal;UrbanaINEC;Semipresencial;5;273
MOLLETURO;010157;LA PAZ;01B00023;Educación Regular;Fiscal;RuralINEC;Semipresencial;5;42
QUINGEO;010161;ESCUELA MONSEÑOR LEONIDAS PROAÑO II;01B00027;Educación Regular;Fiscal;RuralINEC;Presencial;7;130
QUINGEO;010161;ESTRELLA DE SAN JOSE;01B00028;Educación Regular;Fiscal;RuralINEC;Presencial;1;17
QUINGEO;010161;SIN NOMBRE;01B00029;Educación Regular;Fiscal;RuralINEC;Presencial;3;55
RICAURTE;010162;BUENA ESPERANZA;01B00030;Educación Regular;Particular;RuralINEC;Presencial;5;78
SANT ANA;010164;MONTE SINAI;01B00031;Educación Regular;Fiscal;RuralINEC;Presencial;6;89
TARQUI;010168;XAVIER MUÑOZ CHAVEZ;01B00032;Educación Regular;Fiscal;RuralINEC;Presencial;4;57
TARQUI;010168;TUTUPALI CHICO NARANCAY ALTO;01B00033;Educación Regular;Fiscal;RuralINEC;Semipresencial;0;26
TURI;010169;CESAR VICTORIANO MARTINEZ VERDUGO;01B00034;Educación Regular;Fiscal;RuralINEC;Presencial;5;65
TURI;010169;MARCO MARTINEZ;01B00035;Educación Regular;Fiscal;RuralINEC;Presencial;2;32
VALLE;010170;JUAN PEÑAFIEL;01B00036;Educación Regular;Fiscal;RuralINEC;Presencial;3;52
GUALACEO;010350;MIGUEL IGNACIO CORDERO MONCAYO;01B00037;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;118
JADAN;010353;SAN MARTIN;01B00038;Educación Regular;Fiscal;RuralINEC;Presencial;3;57
JADAN;010353;VICENTE ZARUMA;01B00039;Educación Regular;Fiscal;RuralINEC;Presencial;4;54
SAN JUAN;010357;19 DE MAYO;01B00040;Educación Regular;Fiscal;RuralINEC;Presencial;3;33
SAN JUAN;010357;LA DOLOROSA;01B00041;Educación Regular;Fiscal;RuralINEC;Presencial;4;74
SAN JUAN;010357;19 DE MARZO;01B00042;Educación Regular;Fiscal;RuralINEC;Presencial;7;82
ZHIDMAD;010358;RUMIÑAHUI;01B00043;Educación Regular;Fiscal;RuralINEC;Presencial;3;41
NABON;010450;LA PAZ;01B00044;Educación Regular;Fiscal;UrbanaINEC;Semipresencial;0;60
NABON;010450;EFRAIN NAULA;01B00045;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;87
NABON;010450;ARTURO QUESADA MENDIETA;01B00046;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;156
NABON;010450;MONSEÑOR LEONIDAS PROAÑO    1;01B00047;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;145
